Wavelength,Abs,PL
353.944,2.72,
354.414,2.6,
354.884,2.57,
355.354,2.68,
355.824,2.82,
356.294,2.62,
356.764,2.59,
357.234,2.78,
357.704,2.62,
358.174,2.79,
358.644,2.61,
359.113,2.52,
359.583,2.64,
360.053,2.67,
360.523,2.62,
360.993,2.63,
361.462,2.75,
361.932,2.5,
362.402,2.7,
362.871,2.78,
363.341,2.76,
363.811,2.52,
364.28,2.7,
364.75,2.52,
365.219,2.67,
365.689,2.83,
366.158,2.75,
366.628,2.61,
367.097,2.68,
367.567,2.57,
368.036,2.91,
368.506,3.68,
368.975,2.76,
369.445,2.67,
369.914,2.76,
370.383,2.77,
370.853,2.75,
371.322,2.9,
371.791,2.8,
372.26,2.69,
372.73,2.85,
373.199,2.66,
373.668,2.63,
374.137,2.64,
374.606,2.72,
375.075,2.57,
375.545,2.6,
376.014,2.88,
376.483,2.89,
376.952,2.75,
377.421,2.73,
377.89,2.54,
378.359,2.66,
378.828,2.73,
379.297,2.97,
379.766,2.91,
380.235,2.94,
380.703,2.72,
381.172,2.76,
381.641,2.73,
382.11,2.68,
382.579,2.7,
383.048,2.84,
383.516,2.8,
383.985,2.59,
384.454,2.68,
384.922,2.65,
385.391,2.68,
385.86,2.87,
386.328,2.74,
386.797,2.52,
387.266,2.83,
387.734,2.93,
388.203,2.74,
388.671,3.17,
389.14,2.89,
389.608,2.98,
390.077,2.69,
390.545,2.87,
391.014,2.56,
391.482,2.71,
391.95,2.8,
392.419,2.65,
392.887,2.81,
393.355,2.95,
393.824,2.74,
394.292,2.6,
394.76,2.57,
395.229,2.63,
395.697,2.64,
396.165,2.78,
396.633,2.67,
397.101,2.56,
397.569,2.78,
398.038,2.76,
398.506,2.56,
398.974,2.84,
399.442,2.64,
399.91,2.55,
400.378,3.03,
400.846,2.69,
401.314,2.7,
401.782,2.89,
402.25,2.73,
402.717,2.74,
403.185,2.89,
403.653,2.84,
404.121,2.75,
404.589,2.9,
405.057,2.74,
405.524,2.7,
405.992,2.85,
406.46,2.68,
406.928,2.65,
407.395,2.89,
407.863,2.76,
408.331,2.62,
408.798,2.88,
409.266,2.61,
409.733,2.67,
410.201,3.06,
410.668,2.75,
411.136,2.6,
411.603,3,
412.071,2.61,
412.538,2.66,
413.006,2.79,
413.473,2.73,
413.941,2.62,
414.408,3.08,
414.875,2.75,
415.343,2.53,
415.81,2.92,
416.277,2.66,
416.744,2.77,
417.212,3.38,
417.679,2.56,
418.146,2.61,
418.613,2.72,
419.08,2.56,
419.548,2.93,
420.015,2.81,
420.482,2.95,
420.949,2.42,
421.416,2.8,
421.883,2.66,
422.35,2.78,
422.817,2.65,
423.284,2.63,
423.751,2.47,
424.218,2.66,
424.684,2.73,
425.151,2.7,
425.618,2.77,
426.085,2.9,
426.552,2.62,
427.019,2.6,
427.485,2.87,
427.952,2.72,
428.419,2.69,
428.885,2.7,
429.352,2.6,
429.819,2.7,
430.285,2.88,
430.752,2.68,
431.219,2.71,
431.685,2.72,
432.152,2.74,
432.618,2.71,
433.085,2.96,
433.551,2.82,
434.018,2.6,
434.484,2.69,
434.95,2.58,
435.417,2.98,
435.883,2.63,
436.349,2.79,
436.816,2.69,
437.282,2.81,
437.748,2.64,
438.215,2.68,
438.681,2.73,
439.147,2.7,
439.613,2.64,
440.079,2.63,
440.545,2.51,
441.012,3.11,
441.478,2.84,
441.944,2.84,
442.41,2.59,
442.876,2.77,
443.342,2.67,
443.808,2.62,
444.274,2.86,
444.74,2.73,
445.206,2.63,
445.671,2.74,
446.137,2.83,
446.603,2.45,
447.069,2.71,
447.535,2.68,
448.001,2.57,
448.466,2.82,
448.932,2.77,
449.398,2.8,
449.863,2.74,
450.329,3.05,
450.795,2.66,
451.26,2.79,
451.726,3,
452.191,2.93,
452.657,2.79,
453.123,2.94,
453.588,2.67,
454.054,2.65,
454.519,3.01,
454.984,2.68,
455.45,2.64,
455.915,3.11,
456.381,2.61,
456.846,2.6,
457.311,2.82,
457.777,2.55,
458.242,2.69,
458.707,2.79,
459.172,2.66,
459.638,2.77,
460.103,2.83,
460.568,2.79,
461.033,2.75,
461.498,3.06,
461.963,2.74,
462.428,2.78,
462.893,3.07,
463.358,2.66,
463.823,2.83,
464.288,2.96,
464.753,2.73,
465.218,2.87,
465.683,2.92,
466.148,2.61,
466.613,2.78,
467.078,3.03,
467.543,2.86,
468.007,2.81,
468.472,2.8,
468.937,2.78,
469.402,2.74,
469.866,2.84,
470.331,2.78,
